,JobLink,JobTitle,CompanyLink,AccountName,JobLocation,JobDescription,JobId,PostDate,titleScore,links,google_url
0,https://www.indeed.com/rc/clk?jk=f547dcdccaa29025&fccid=f7029f63fe5c906e,Finance Master Data Governance Manager,https://www.indeed.com/cmp/Verizon,Verizon,"Basking Ridge, NJ","Master Data Governance program experience. They will lead execution of the VEDA framework & strategy for master data, reference data, metadata management and...",f547dcdccaa29025,2017-01-24,95,[http://www.verizon.com],https://www.verizonwireless.com/
1,https://www.indeed.com/rc/clk?jk=9a894c8379568c7e&fccid=5f3ddd3404b86cd4,"Manager, Master Data Governance & Management","https://www.indeed.com/cmp/Galderma-Laboratories,-Lp","Galderma Laboratories, Lp","Fort Worth, TX","Strong understanding of Master Data and Data Governance. This role is responsible for running an effective governance structure, by partnering with a cross...",9a894c8379568c7e,2017-01-24,95,"https://www.google.com/#q=Galderma Laboratories, Lp",www.galdermausa.com/
2,https://www.indeed.com/rc/clk?jk=823f716919a1be1f&fccid=1b5350e7f82bc397,"Manager, Master Data Governance",https://www.indeed.com/cmp/Seaspine,Seaspine,"Carlsbad, CA","Design and deploy solutions for data loads, data cleanup, data quality / integrity checks, semi-automated data transfers across systems....",823f716919a1be1f,2017-01-17,95,"[https://www.instagram.com/seaspine, http://www.seaspine.com]",www.seaspine.com/
3,https://www.indeed.com/rc/clk?jk=910567b5d59b4510&fccid=84232ebd0081b955,"Manager, Data Governance",https://www.indeed.com/cmp/Becton-Dickinson-&-Company,Becton Dickinson & Company,"San Diego, CA",The Data Governance Manager position will be a key position involved in a variety of data/analytic centric projects in support of an overall data management and...,910567b5d59b4510,2017-01-16,95,[http://www.bd.com],www.bd.com/us/
4,https://www.indeed.com/rc/clk?jk=d6b05fe2ed357fa2&fccid=dc5dd98c1ef26287,"Data Governance & Remediation Manager, Vice President, Aubur...",https://www.indeed.com/cmp/Comerica-Bank,Comerica,"Auburn Hills, MI",Data Governance and Remediation Services Manager. The Data Governance and Remediation Services Manager role will be to facilitate the creation of Enterprise...,d6b05fe2ed357fa2,2017-01-17,95,[https://www.comerica.com],https://www.comerica.com/
5,https://www.indeed.com/company/South-State-Bank/jobs/Data-Governance-Manager-9482e749df250052?fccid=1cae4ecf9aba0acb,Data Governance Manager,https://www.indeed.com/cmp/South-State-Bank,South State Bank,"Columbia, SC",The Data Governance Manager serves as chair of the Data Governance Team and secretary of the Data Governance Committee....; Easily apply,9482e749df250052,2017-01-08,95,[http://www.southstatebank.com],https://www.southstatebank.com/
6,https://www.indeed.com/rc/clk?jk=ea622e40d208dfc8&fccid=3b98171e4a0fd997,"Data Manager - Governance, Risk and Compliance, Vice Preside...",https://www.indeed.com/cmp/Mufg,Mufg,"San Francisco, CA","Manage data change requests, and conduct periodic data quality control reviews to ensure data currency and quality....",ea622e40d208dfc8,2017-01-24,80,[https://careers.mufg-americas.com/],www.mufg.jp/english/
7,https://www.indeed.com/rc/clk?jk=7cea7b9d0830050c&fccid=2e30d7a999c0f68e,Data Manager - Investments,https://www.google.com/#q=Security Benefit Web,Security Benefit Web,"Topeka, KS","The Data Manager will review and data context expert for Investments and ensures data accuracy through ensuring quality, reliability and availability of...",7cea7b9d0830050c,2017-01-02,80,https://www.google.com/#q=Security Benefit Web,https://www.securitybenefit.com/
8,https://www.indeed.com/rc/clk?jk=da9d9c784932021d&fccid=be7c92e24ad383c7,Analytics Manager,https://www.indeed.com/cmp/Bellco-Credit-Union,Bellco Credit Union,"Greenwood Village, CO","Manages the model governance process. 8+ years of Treasury, Finance, and/or Data Analytics. Expert-level data modeling skills, including the ability to develop...",da9d9c784932021d,2017-01-01,80,https://www.google.com/#q=Bellco Credit Union,www.bellco.org/
9,https://www.indeed.com/rc/clk?jk=178033b0b2706850&fccid=d7c79e940576cb7e,Enterprise Data Management Service Leader,https://www.indeed.com/cmp/Stewart-Title-Guaranty-Company,Stewart Title Guaranty Company,"Tempe, AZ","Enterprise Data Management Service Leader. Keep managers and team members are informed of policies, procedures, and corporate initiatives....",178033b0b2706850,2017-01-07,80,https://www.google.com/#q=Stewart Title Guaranty Company,www.stewart.com/
