,JobLink,JobTitle,AccountName,JobLocation,JobDescription,JobId,PostDate,titleScore,State,CompanyLink
0,https://www.indeed.com/rc/clk?jk=9a894c8379568c7e&fccid=5f3ddd3404b86cd4,"Manager, Master Data Governance & Management","Galderma Laboratories, Lp","Fort Worth, TX",Strong understanding of Master Data and Data Governance  This role is responsible for running an effective governance structure  by partnering with a cross,9a894c8379568c7e,2017-01-26,95,TX,www.galdermausa.com/
1,https://www.indeed.com/company/Clarus-Group/jobs/Manager-069296a4f57779ba?fccid=7230a14a9e6f8407,"Manager, Data Management",Clarus Group,"Kansas City, MO",The Data Management Manager is a technical position that requires strong data architecture as related to the client   s portfolio data assets      Easily apply,069296a4f57779ba,2017-01-18,80,MO,https://clarusgp.com/
2,https://www.indeed.com/rc/clk?jk=910567b5d59b4510&fccid=84232ebd0081b955,"Manager, Data Governance",Becton Dickinson & Company,"San Diego, CA",The Data Governance Manager position will be a key position involved in a variety of data analytic centric projects in support of an overall data management and,910567b5d59b4510,2017-01-19,95,CA,www1.bd.com/us/
3,https://www.indeed.com/rc/clk?jk=823f716919a1be1f&fccid=1b5350e7f82bc397,"Manager, Master Data Governance",Seaspine,"Carlsbad, CA",Design and deploy solutions for data loads  data cleanup  data quality   integrity checks  semi automated data transfers across systems,823f716919a1be1f,2017-01-20,95,CA,www.seaspine.com/
4,https://www.indeed.com/rc/clk?jk=751a9af73dca3dd8&fccid=e38df61d0277784a,"Manager, Master Data Management",Conmed Corporation,"Utica, NY",Manager  Master Data Management  Good understanding of Master Data Management strategies  MDM services and capabilities  Metadata Management  Data governance,751a9af73dca3dd8,2017-02-06,80,NY,www.conmed.com/
5,https://www.indeed.com/rc/clk?jk=de0d9a7686ae2c4c&fccid=59c066abad7b16b2,"Manager, Master Data Management (MDM)",Master Lock,"Oak Creek, WI",Facilitate the resolution of data management and data quality issues related to conflicting data ownership  data and rule definition  data availability  and,de0d9a7686ae2c4c,2017-02-02,80,WI,www.masterlock.com/
6,https://www.indeed.com/rc/clk?jk=25a1624f2600b0a6&fccid=a8aaf8c0c1fa1249,Data & Analytics Manager,Teachers Credit Union,"Indianapolis, IN",Ensure the availability  definition  access  security and integrity of all organizational data through a comprehensive Data Governance program,25a1624f2600b0a6,2017-02-09,80,IN,https://www.tcunet.com/
8,https://www.indeed.com/rc/clk?jk=4a48bdaa542f9095&fccid=5db661b2ddc0fc63,"Data Manager, Specialty Pharmacy",Valeant,"Bridgewater, NJ",Define   maintain data governance and reporting standards with data aggregator  Specialty Pharmacy and Hub service providers to ensure meaningful and standard,4a48bdaa542f9095,2017-02-08,80,NJ,www.valeant.com/
12,https://www.indeed.com/rc/clk?jk=8502ee41e244f1fe&fccid=567771de46fd6696,IT Data Manager,The University Of Kansas Hospital,"Shawnee Mission, KS",We currently have an opening for an IT Data Manager  Minimum 3 years Data Technology experience to include Enterprise Data Management required,8502ee41e244f1fe,2017-02-05,80,KS,www.kumed.com/
15,https://www.indeed.com/rc/clk?jk=66648b3354f420d5&fccid=fcc08bf9b47571ef,Mgr Data Governance,City National Bank,"Los Angeles, CA",The Data Governance Manager will create the strategy for establishing and implementing Data Governance  Data Quality Control and Data Remediation  as well as,66648b3354f420d5,2017-01-31,80,CA,https://www.cnb.com/
