JobLink,JobTitle,AccountName,JobLocation,JobDescription,JobId,PostDate,titleScore,State,CompanyLink
https://www.indeed.com/rc/clk?jk=ccedc6fe3926f3a6&fccid=2d9eef72f69af116,Business Data Steward,Santander Bank,"Boston, MA",Establishing data standards and governance  Develop and implement robust data quality monitoring and controls required to secure data certification for the,ccedc6fe3926f3a6,2017-03-29,85,MA,https://www.santanderbank.com/
https://www.indeed.com/rc/clk?jk=35f3e7413af3b34e&fccid=b7b2b0ecc148eab5,"Data and Reporting Manager, US Analytics & Reporting",Celgene Corporation,"Summit, NJ",Knowledge of data governance  data quality measurement and data stewardship  And execute a robust data governance framework for current and emerging data,35f3e7413af3b34e,2017-03-28,80,NJ,https://www.celgene.com/
https://www.indeed.com/rc/clk?jk=0bbbd3239a339771&fccid=3c74eafe288fc8ca,"Manager, Data Governance and Audit Compliance",Charles Schwab,"Austin, TX",The Manager  Data Governance will contribute to the end to end data quality  accuracy  consistency and security across our platforms,0bbbd3239a339771,2017-03-25,95,TX,https://www.schwab.com/
https://www.indeed.com/company/FirstCarbon-Solutions/jobs/Data-Manager-45be28ec98e17577?fccid=95c19d343d13c634,Data Manager,Firstcarbon Solutions,"Irvine, CA",Technical expertise regarding data sources  data structures  data organization  and data optimization  Extracting  transforming and loading data from multiple     Easily apply,45be28ec98e17577,2017-03-25,80,CA,www.firstcarbonsolutions.com/
https://www.indeed.com/rc/clk?jk=f2869b6991afa836&fccid=c3efae07d06b0277,"IT Officer, Data and Information Management",Ifc,"Washington, DC",Develop strategies for data acquisition  data structures and associated data policies  Design and develop data quality rules for Data Warehouse and Data Mart,f2869b6991afa836,2017-03-31,80,DC,www.ifc.com/
https://www.indeed.com/rc/clk?jk=7af468def5243bf8&fccid=53e711ee943496f0,Data Management Director,Audiencescience,"Bellevue, WA",Co ordination of our data across both 1st and 2nd party data sets to continuously enhance our data management platform,7af468def5243bf8,2017-03-31,85,WA,https://www.audiencescience.com/
https://www.indeed.com/rc/clk?cmp=CPS%2FComtech&ti=Director+Data+Analytic+Business+Intelligence&jk=68b5895b9a0d60b6&fccid=5ce786f54783fe70,DIRECTOR OF DATA ANALYTICS/BUSINESS INTELLIGENCE,Cpscomtech Inc.,"Manhattan, NY",Establish data governance principles  policies and standards aligned to a data strategy  Help influence and set strategic direction for the data governance     Easily apply,68b5895b9a0d60b6,2017-03-28,85,NY,https://www.linkedin.com/company/cpscomtech
https://www.indeed.com/rc/clk?jk=46ca847567314317&fccid=19a55a04a564eae0,Experienced Manager/Senior Consultant in Data Governance,Keyrus,,Design of the Data Governance roadmap  Contribute to the continuous improvement of our Data Governance methodology to keep it tuned with technology evolution     Easily apply,46ca847567314317,2017-03-24,95,,www.keyrus.com/
https://www.indeed.com/rc/clk?jk=0671b5d415fbd885&fccid=41c7900e396fc9c1,Deputy Chief Information Officer,The City University Of New York (Cuny),"Bronx, NY",Experience with data warehouse development business intelligence data analysis and reporting solutions  Reporting to the Chief Information Officer Assistant,0671b5d415fbd885,2017-03-31,85,NY,www2.cuny.edu/
https://www.indeed.com/rc/clk?jk=5521ddf2f753eb15&fccid=cacc8df1333c3961,"Senior Vice President, Chief Information Officer",Navigant Credit Union,"Providence, RI",We are currently seeking a proven leader for the role of Senior Vice President  Chief Information Officer   Partners with the Chief Risk Officer and designated     Easily apply,5521ddf2f753eb15,2017-03-27,85,RI,https://www.navigantcu.org/
https://www.indeed.com/rc/clk?jk=2a9546033f4e854a&fccid=22b1d1aaa50a1a45,DATA GOVERNANCE PROGRAM COORDINATOR,University Of Wisconsin–Madison,"Madison, WI",The Data Governance Program Coordinator is responsible for implementation of UW Madison s Data Governance Program operations  under the supervision of the Chief,2a9546033f4e854a,2017-03-31,80,WI,www.wisc.edu/
https://www.indeed.com/company/AK-Pediatrics/jobs/Chief-Operating-Officer-439f8edf81e10710?fccid=84d652ad53e9b278,Chief Operating Officer,Ak Pediatrics,"Jacksonville, FL",Utilizes several data systems  including quality registries  Designs and plans gathering and analysis of baseline data  and ongoing assessment of success     Easily apply,439f8edf81e10710,2017-03-31,85,FL,https://www.akpeds.com/
