,JobLink,JobTitle,AccountName,JobLocation,JobDescription,JobId,PostDate,titleScore,State,CompanyLink
10,https://www.indeed.com/rc/clk?jk=aa3cb50929bdafca&fccid=1cb811e40902c620,Deputy Data Manager,Vencore,"Chantilly, VA",Data Management and Data Stewardship Develop  maintain  and assist in implementation of data governance policies  data management plans  and strategies,aa3cb50929bdafca,2017-02-01,80,VA,https://www.vencore.com/
11,https://www.indeed.com/rc/clk?jk=b53b0bbb98a0fbe8&fccid=2973259ddc967948,Manager - Sustainability Reporting and Analytics,Pepsico,"Purchase, NY",Demonstrated  strong understanding of IT architecture and foundational Data Management domains  Data Architecture  Data Integration  Master Data Management  and,b53b0bbb98a0fbe8,2017-02-14,80,NY,www.pepsico.com/
15,https://www.indeed.com/rc/clk?jk=e35409c40bbac0f4&fccid=a3b51ece17c02aae,Internal Audit Data Analytics Manager,Abbvie,"Lake County, IL",The Internal Audit Data Analytics Manager will be responsible for assisting in the development of and execution of the data analytics strategy used within the,e35409c40bbac0f4,2017-02-14,80,IL,https://www.abbvie.com/
18,https://www.indeed.com/rc/clk?jk=cc5bc14a58556e6a&fccid=e1445bd2c77a218b,E&P Enterprise Data Manager,Concho,,E P Enterprise Data Manager  Establish the governance and process for centralized well master data management,cc5bc14a58556e6a,2017-02-11,80,,www.concho.com/
19,https://www.indeed.com/rc/clk?jk=f19ba352eb0fcd4d&fccid=056b2e374b1663c1,FoodTech SL9 Data Manager,Jbt Corporation,"Chicago, IL",FoodTech SL9 Data Manager  The FoodTech SL9 Data Manager role is responsible ERP data accuracy as outlined in the duties noted below,f19ba352eb0fcd4d,2017-01-18,80,IL,www.jbtcorporation.com/
25,https://www.indeed.com/rc/clk?jk=870c4fedb7cfa936&fccid=b9c108789387136e,Enterprise Data Manager Job,First Citizens Bank,"Raleigh, NC",Enterprise Data Manager  The Enterprise Data Manager develops and leads the strategic initiatives associated with improved data quality  governance  report,870c4fedb7cfa936,2017-02-08,80,NC,https://www.firstcitizens.com/
26,https://www.indeed.com/rc/clk?jk=5c498e3c30c7f308&fccid=5721f60ba0803c7d,"Manager, Data Analytics",Ameren," Louis, MO",Leading project teams  analytics strategy development  data governance working group leadership  and other assignments as assigned,5c498e3c30c7f308,2017-01-31,80,MO,https://www.ameren.com/
29,https://www.indeed.com/rc/clk?jk=6dab252950eb717f&fccid=090a7d416d718609,Workforce Data Manager,"C.H. Robinson Worldwide, Inc.","Eden Prairie, MN",Workforce Data Manager  Experience with data governance processes and best practices  Partner with the Enterprise Data Warehouse  EDW  team and other IT,6dab252950eb717f,2017-02-08,80,MN,https://www.chrobinson.com/
33,https://www.indeed.com/rc/clk?jk=dc1c5baad8813fa1&fccid=39baf972ba156d41,Manager of Data Analytics,Rutgers University,"New Brunswick, NJ",Manager of Data Analytics  Rutgers  The State University of New Jersey is seeking a Manager of Data Analytics,dc1c5baad8813fa1,2017-01-31,80,NJ,www.rutgers.edu/
34,https://www.indeed.com/rc/clk?jk=73f0e7f48fff512b&fccid=b8327f639be41567,Master Data Manager,Technip,"Houston, TX",Align with peer data stewards to execute defined data governance processes  Master data governance experience or theoretical knowledge,73f0e7f48fff512b,2017-01-25,80,TX,www.technip.com/
